short_description,category_list
Rallyverse is a social and content marketing platform that provides social marketing services to brands and agencies.,"Apps,Content Discovery,Social Media,Social Media Marketing"
Direct Technologies develops photovoltaic micro-inverters for converting DC to grid-compliant AC power.,"Electronics,Hardware,Manufacturing"
Bgm Informatique is a information technology and services company located in Alma.,"Management Information Systems,Information Services,Information Technology"
"Brandgenuity provides digital marketing, licensing and branding solutions.","Brand Marketing,Advertising,Marketing"
Go Logistics is a logistics & supply chain management company located in Mississauga.,"Supply Chain Management,Delivery,Logistics"
Wilshire Media Group Inc. provides consulting and business acceleration services to the media and entertainment industry.,"Consulting,Information Technology,News"
Norton & Associates Law Group is a debt defense law firm that features expert debt defense attorneys,Association
Mastekno adalah website teknologi dan pendidikan terbaik di indonesia.,E-Commerce
API marketplace using blockchain payments (payment channels) for pay as you go for API usage.,"Blockchain,Cryptocurrency,Developer APIs,E-Commerce,Ethereum,Financial Services,Marketplace,Retail"
"WBENC, a national 501(c)(3) non-profit, partners with 14 Regional Partner Organizations.",Non Profit
Home Theater Subwoofer Manufacturer,"Hardware,Software"
DataBark is a new startup with offices in NYC.,"Big Data,Information Technology,Internet"
"Alvant is an advanced materials technology group specialising in the design, development and production of aluminium composite components.","Industrial Engineering,Mechanical Engineering"
Sleepz is an e-commerce group focussing on the segment of sleep products.,"E-Commerce,E-Commerce Platforms,Retail"
"hiSys is to build your career, find jobs and get hired.","Education,Human Resources"
Taradata provides IT and business services.,"Business Development,Information Technology"
"SuperConcepts delivers innovative and award-winning SMSF solutions to approximately 38,000 funds in the market.","Information Technology,Software"
Structural Chiropractic focus on structural shift for correction of secondary conditions.,"Health Care,Medical"
Kobalt is a monitoring capabilities of enterprise-class security teams to smaller organizations.,"Cloud Security,CRM,Cyber Security,Electronics,Enterprise,Information Technology"
Estco is an interactive development firm which combines technology with strategic consulting and graphic design.,"Consulting,Graphic Design"
Modetek manufactures electro-optic components for the next generation of optical systems.,"Computer,Manufacturing"
Progetti Speciali Italiani is an Italian aerospace company.,"Aerospace,Homeland Security,Nuclear"
"Notre entreprise se spí©cialise dans les príÈts rapides sans enquíÈte de crí©dit avec un service reconnu, confidentiel et sí©curitaire.",Internet
Winter Capital is an investment advisory firm focused on private equity and venture capital.,"Finance,Financial Services,Venture Capital"
Alfred Nobel Open Business School is a school.,
"Meet teens near you with Spotafriend, the Tinder alternative for people ages 13-19.","Android,Apps,Internet,Mobile,Software"
Management and Engineering Counsultancy ,"Consulting,Information Technology"
"Quantum Secure designs SAFE, an enterprise software suite ensuring controlled access to employees and visitors within an organization.","Enterprise Software,Information Technology,Security"
Stokmate is an information technology & services company.,"Information Services,IT Infrastructure,Information Technology"
TwerkMedia is a website that provides automation tools for advertising and sales operations.,Advertising
Celebrity Connected Celebrity Gifting Suites - hosting the coolest products & your favorite celebs at the biggest events in entertainment.,"Brand Marketing,Events,Small and Medium Businesses,Social Media Advertising,Sponsorship"
Luxury boutique Hotel located in Soho New York,Hotel
The pepper group is a brand communications firm specializing in brand strategy development and implementation for a variety of clients.,"Market Research,Non Profit,Public Relations"
Barking Angels Service Dog Foundation provides service dogs and companion dogs to the physically and developmentally disabled.,"Association,Non Profit"
We know iOS,Software
EcoR1 Capital is a biotech-focused investment advisory firm.,Financial Services
"PiiK Games provides the platform, tools and expertise for delivering rich and engaging esports experiences to gamers worldwide.","eSports,Online Games"
Meet FEND // The Foldable Bicycle Helmet Designed for the City Rider.,"Consumer Goods,Fitness,Sporting Goods,Wellness"
Hello Pal has created an app that makes it easy to interact across language barriers with people from around the world.,"Apps,Mobile Apps"
"CCE goal of creating, developing, selling and providing IT support services to meet the needs and requirements of clients and markets.",Information Technology
"Channel Nine Entertainment is outsourcing the processing services like content development, multi-media, editing, and sound recording.","Content,Digital Entertainment,Media and Entertainment"
"NIBC is the bank of choice for decisive financial moments. Our Corporate Banking activities include advice, financing and co-investment.","Banking,Finance,Financial Services"
"Zcodia Photography offers the best Destination Candid Wedding Photography in Chennai, Bangalore and Tirupur. Exemplary Wedding Photographer.","Photography,Wedding"
Feral Interactive is a publishing company that develops games for Macintosh and Linux platforms.,Software
Shopzed is an online grocery delivery service that delivers in Lusaka and Copperbelt provinces.,"Delivery,Delivery Service,E-Commerce,Food and Beverage,Food Delivery,Internet,Logistics"
"Medical Records Migration, Backup and Intergration","Health Care,Information Technology,Medical"
"More than anything else, these are the three components that create successful athletes who cultivate lifelong fitness disciplines","Fitness,Health Care,Lifestyle"
Glissade makes digital dentistry accessible to dental practices globally.,"Dental,Health Care"
Community Outdoor Industry Marketplace,"E-Commerce,Outdoors"
Headstrong provides IT and consultation services for the global financial services industry.,"Consulting,Information Technology,Service Industry"
Full-service public relations firm specializing in media relations and strategic services for auctioneers nationwide.,Public Relations
"Providence and Worcester Railroad Company (P&W) is an interstate freight carrier conducting railroad operations in Massachusetts,","Manufacturing,Transportation"
